subject	activity	feature	axis	method	mean	count
1	LAYING	fBodyAcc	X	mean	-0.9390990524	50
1	LAYING	fBodyAcc	X	meanFreq	-0.158792670508	50
1	LAYING	fBodyAcc	X	std	-0.9244374346	50
1	LAYING	fBodyAcc	Y	mean	-0.86706520518	50
1	LAYING	fBodyAcc	Y	meanFreq	0.097534841586	50
1	LAYING	fBodyAcc	Y	std	-0.8336255561	50
1	LAYING	fBodyAcc	Z	mean	-0.8826668762	50
1	LAYING	fBodyAcc	Z	meanFreq	0.08943765522	50
1	LAYING	fBodyAcc	Z	std	-0.81289155944	50
1	LAYING	fBodyAccJerk	X	mean	-0.9570738838	50
1	LAYING	fBodyAccJerk	X	meanFreq	0.132419092398	50
1	LAYING	fBodyAccJerk	X	std	-0.9641607086	50
1	LAYING	fBodyAccJerk	Y	mean	-0.9224626098	50
1	LAYING	fBodyAccJerk	Y	meanFreq	0.024513618956	50
1	LAYING	fBodyAccJerk	Y	std	-0.9322178704	50
1	LAYING	fBodyAccJerk	Z	mean	-0.9480609042	50
1	LAYING	fBodyAccJerk	Z	meanFreq	0.02438794528	50
1	LAYING	fBodyAccJerk	Z	std	-0.9605869872	50
1	LAYING	fBodyAccMag	NA	mean	-0.8617676481	50
1	LAYING	fBodyAccMag	NA	meanFreq	0.08640856294	50
1	LAYING	fBodyAccMag	NA	std	-0.7983009404	50
1	LAYING	fBodyBodyAccJerkMag	NA	mean	-0.9333003608	50
1	LAYING	fBodyBodyAccJerkMag	NA	meanFreq	0.26639115416	50
1	LAYING	fBodyBodyAccJerkMag	NA	std	-0.9218039756	50
1	LAYING	fBodyBodyGyroJerkMag	NA	mean	-0.9423669466	50
1	LAYING	fBodyBodyGyroJerkMag	NA	meanFreq	0.17648590708	50
1	LAYING	fBodyBodyGyroJerkMag	NA	std	-0.9326606676	50
1	LAYING	fBodyBodyGyroMag	NA	mean	-0.8621901854	50
1	LAYING	fBodyBodyGyroMag	NA	meanFreq	-0.1397750127	50
1	LAYING	fBodyBodyGyroMag	NA	std	-0.82431943968	50
1	LAYING	fBodyGyro	X	mean	-0.850249174586	50
1	LAYING	fBodyGyro	X	meanFreq	-0.003546795856	50
1	LAYING	fBodyGyro	X	std	-0.8822964508	50
1	LAYING	fBodyGyro	Y	mean	-0.9521914948	50
1	LAYING	fBodyGyro	Y	meanFreq	-0.091529130882	50
1	LAYING	fBodyGyro	Y	std	-0.9512320494	50
1	LAYING	fBodyGyro	Z	mean	-0.909302721	50
1	LAYING	fBodyGyro	Z	meanFreq	0.01045812566	50
1	LAYING	fBodyGyro	Z	std	-0.9165825082	50
1	LAYING	tBodyAcc	X	mean	0.22159824394	50
1	LAYING	tBodyAcc	X	std	-0.9280564692	50
1	LAYING	tBodyAcc	Y	mean	-0.0405139534294	50
1	LAYING	tBodyAcc	Y	std	-0.83682740562	50
1	LAYING	tBodyAcc	Z	mean	-0.11320355358	50
1	LAYING	tBodyAcc	Z	std	-0.826061401628	50
1	LAYING	tBodyAccJerk	X	mean	0.0810865342	50
1	LAYING	tBodyAccJerk	X	std	-0.958482112	50
1	LAYING	tBodyAccJerk	Y	mean	0.0038382040088	50
1	LAYING	tBodyAccJerk	Y	std	-0.9241492736	50
1	LAYING	tBodyAccJerk	Z	mean	0.010834236361	50
1	LAYING	tBodyAccJerk	Z	std	-0.9548551108	50
1	LAYING	tBodyAccJerkMag	NA	mean	-0.9543962646	50
1	LAYING	tBodyAccJerkMag	NA	std	-0.9282456284	50
1	LAYING	tBodyAccMag	NA	mean	-0.8419291525	50
1	LAYING	tBodyAccMag	NA	std	-0.79514486386	50
1	LAYING	tBodyGyro	X	mean	-0.016553093978	50
1	LAYING	tBodyGyro	X	std	-0.87354386782	50
1	LAYING	tBodyGyro	Y	mean	-0.064486124088	50
1	LAYING	tBodyGyro	Y	std	-0.9510904402	50
1	LAYING	tBodyGyro	Z	mean	0.14868943626	50
1	LAYING	tBodyGyro	Z	std	-0.9082846626	50
1	LAYING	tBodyGyroJerk	X	mean	-0.107270949192	50
1	LAYING	tBodyGyroJerk	X	std	-0.9186085208	50
1	LAYING	tBodyGyroJerk	Y	mean	-0.04151728689	50
1	LAYING	tBodyGyroJerk	Y	std	-0.9679072436	50
1	LAYING	tBodyGyroJerk	Z	mean	-0.0740501211	50
1	LAYING	tBodyGyroJerk	Z	std	-0.9577901596	50
1	LAYING	tBodyGyroJerkMag	NA	mean	-0.96346103	50
1	LAYING	tBodyGyroJerkMag	NA	std	-0.9358409828	50
1	LAYING	tBodyGyroMag	NA	mean	-0.874759548	50
1	LAYING	tBodyGyroMag	NA	std	-0.81901016976	50
1	LAYING	tGravityAcc	X	mean	-0.24888179828	50
